DATETIME,Serial Number of system during year,Basin of origin,Name,Latitude (lat.),Longitude (lon.),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree)
1982-05-01 03:00:00,198201,BOB,,14.0,82.5,1.5,,25.0,3.0,D,,
1982-05-01 06:00:00,198201,BOB,,14.5,82.5,2.0,,30.0,5.0,DD,,
1982-05-01 12:00:00,198201,BOB,,15.0,82.0,2.5,,35.0,6.0,CS,,
1982-05-01 18:00:00,198201,BOB,,15.5,82.5,2.5,,40.0,8.0,CS,,
1982-05-02 00:00:00,198201,BOB,,16.0,83.0,3.0,,45.0,10.0,CS,,
1982-05-02 03:00:00,198201,BOB,,16.5,83.5,3.0,,45.0,10.042650267804008,CS,,
1982-05-02 06:00:00,198201,BOB,,16.5,84.0,3.5,,50.0,12.398333663955565,SCS,,
1982-05-02 12:00:00,198201,BOB,,16.5,84.5,3.5,,55.0,15.001983733386234,SCS,,
1982-05-02 18:00:00,198201,BOB,,17.0,85.0,3.5,,55.0,15.001983733386234,SCS,,
1982-05-03 00:00:00,198201,BOB,,17.0,86.0,3.5,,60.0,17.853600476096013,SCS,,
1982-05-03 03:00:00,198201,BOB,,17.0,86.5,4.0,,65.0,20.953183892084905,VSCS,,
1982-05-03 06:00:00,198201,BOB,,17.5,87.5,4.5,,80.0,31.73973417972625,VSCS,,
1982-05-03 12:00:00,198201,BOB,,17.5,88.5,5.0,,90.0,40.17060107121603,VSCS,,
1982-05-03 18:00:00,198201,BOB,,17.5,90.0,5.5,,105.0,54.67665145804404,VSCS,,
1982-05-04 00:00:00,198201,BOB,,17.5,91.0,6.0,,115.0,65.58718508232494,VSCS,,
1982-05-04 03:00:00,198201,BOB,,17.5,91.5,6.0,,115.0,65.58718508232494,VSCS,,
1982-05-04 06:00:00,198201,BOB,,17.5,92.0,6.0,,115.0,65.58718508232494,VSCS,,
1982-05-04 12:00:00,198201,BOB,,17.5,93.5,6.0,,115.0,65.58718508232494,VSCS,,
1982-05-04 18:00:00,198201,BOB,,17.3,94.5,-,,115.0,65.58718508232494,VSCS,,
1982-05-05 03:00:00,198201,BOB,,17.2,98.5,-,,30.0,4.463400119024003,DD,,
1982-05-31 12:00:00,198202,BOB,,14.5,91.5,1.5,990.0,25.0,3.0995834159888913,D,,
1982-05-31 18:00:00,198202,BOB,,19.0,91.3,2.0,988.0,30.0,4.463400119024003,DD,,
1982-06-01 00:00:00,198202,BOB,,15.5,91.0,2.5,986.0,35.0,6.075183495338227,CS,,
1982-06-01 03:00:00,198202,BOB,,16.0,91.0,2.5,984.0,40.0,7.934933544931562,CS,,
1982-06-01 06:00:00,198202,BOB,,16.5,91.0,2.5,984.0,40.0,7.934933544931562,CS,,
1982-06-01 12:00:00,198202,BOB,,16.5,90.5,2.5,984.0,40.0,7.934933544931562,CS,,
1982-06-01 18:00:00,198202,BOB,,17.0,90.0,2.5,984.0,40.0,7.934933544931562,CS,,
1982-06-02 00:00:00,198202,BOB,,19.0,88.5,2.5,984.0,40.0,7.934933544931562,CS,,
1982-06-02 03:00:00,198202,BOB,,17.5,89.5,3.0,982.0,45.0,10.042650267804008,CS,,
1982-06-02 06:00:00,198202,BOB,,17.5,89.5,3.5,982.0,45.0,10.042650267804008,CS,,
1982-06-02 12:00:00,198202,BOB,,18.0,89.0,3.0,982.0,45.0,10.042650267804008,SCS,,
1982-06-02 18:00:00,198202,BOB,,18.5,88.5,3.0,979.0,50.0,13.0,SCS,,
1982-06-03 00:00:00,198202,BOB,,19.0,88.5,3.5,976.0,55.0,16.0,SCS,,
1982-06-03 03:00:00,198202,BOB,,19.0,88.0,4.0,972.0,65.0,22.0,VSCS,,
1982-06-03 06:00:00,198202,BOB,,19.5,87.5,4.5,960.0,80.0,31.73973417972625,VSCS,,
1982-06-03 09:00:00,198202,BOB,,19.5,87.5,5.0,952.0,90.0,40.17060107121603,VSCS,,
1982-06-03 12:00:00,198202,BOB,,20.0,87.0,5.0,952.0,90.0,40.0,VSCS,,
1982-06-03 18:00:00,198202,BOB,,21.0,86.5,5.0,952.0,90.0,40.17060107121603,VSCS,,
1982-06-04 00:00:00,198202,BOB,,21.5,86.0,4.0,970.0,65.0,22.0,VSCS,,
1982-06-04 03:00:00,198202,BOB,,22.0,85.5,3.0,982.0,45.0,10.0,CS,,
1982-06-04 06:00:00,198202,BOB,,22.5,85.0,2.5,986.0,35.0,6.0,CS,,
1982-06-04 12:00:00,198202,BOB,,23.0,84.0,2.0,988.0,30.0,4.463400119024003,DD,,
1982-06-04 18:00:00,198202,BOB,,24.0,82.5,2.0,988.0,30.0,4.463400119024003,DD,,
1982-06-05 00:00:00,198202,BOB,,24.5,81.0,1.5,990.0,25.0,3.0,D,,
1982-06-05 03:00:00,198202,BOB,,25,81.5,1.5,991.0,20.0,3.0,D,,
1982-07-18 03:00:00,198203,BOB,,18.0,88.0,1.5,,25.0,4.0,D,,
