ISO_TIME,SID,LAT,LON,WMO_WIND,NEWDELHI_GRADE,TimeRelativeToLMI
1982-11-04 12:00:00,1982309N12066,11.5,66.0,25.0,D,0.0
1982-11-05 03:00:00,1982309N12066,12.1,64.0,35.0,CS,0.625
1982-11-05 12:00:00,1982309N12066,12.5,64.4,40.0,CS,1.0
1982-11-06 00:00:00,1982309N12066,13.2,65.0,45.0,CS,1.5
1982-11-06 03:00:00,1982309N12066,13.4,65.1,55.0,SCS,1.625
1982-11-06 12:00:00,1982309N12066,14.0,65.7,60.0,SCS,2.0
1982-11-07 03:00:00,1982309N12066,15.5,66.8,60.0,SCS,2.625
1982-11-07 12:00:00,1982309N12066,16.8,67.8,65.0,VSCS,3.0
1982-11-08 03:00:00,1982309N12066,19.2,69.9,80.0,VSCS,3.625
1982-11-08 12:00:00,1982309N12066,21.0,71.0,90.0,ESCS,4.0
1982-11-09 00:00:00,1982309N12066,22.5,73.2,50.0,SCS,4.5
1982-11-09 03:00:00,1982309N12066,23.0,73.5,35.0,CS,4.625
1982-11-09 12:00:00,1982309N12066,23.5,75.0,25.0,D,5.0
1985-05-28 03:00:00,1985148N15067,15.0,67.0,25.0,D,0.0
1985-05-28 12:00:00,1985148N15067,16.1,67.3,30.0,DD,0.375
1985-05-29 03:00:00,1985148N15067,17.5,67.7,35.0,DD,1.0
1985-05-29 12:00:00,1985148N15067,18.4,68.1,45.0,CS,1.375
1985-05-30 03:00:00,1985148N15067,20.3,68.3,45.0,CS,2.0
1985-05-30 12:00:00,1985148N15067,21.4,68.2,45.0,CS,2.375
1996-06-17 09:00:00,1996167N16072,17.8,69.1,25.0,D,0.0
1996-06-17 12:00:00,1996167N16072,18.1,69.2,25.0,D,0.125
1996-06-17 18:00:00,1996167N16072,18.2,69.5,30.0,DD,0.375
1996-06-18 00:00:00,1996167N16072,18.8,70.1,30.0,DD,0.625
1996-06-18 03:00:00,1996167N16072,19.0,70.3,30.0,DD,0.75
1996-06-18 06:00:00,1996167N16072,19.4,70.4,30.0,DD,0.875
1996-06-18 09:00:00,1996167N16072,19.5,70.5,35.0,CS,1.0
1996-06-18 12:00:00,1996167N16072,19.9,70.6,45.0,CS,1.125
1996-06-18 18:00:00,1996167N16072,20.4,70.7,55.0,SCS,1.375
1996-06-19 00:00:00,1996167N16072,20.9,70.9,60.0,SCS,1.625
