Date(DD-MM-YYYY),Serial Number of system during year,Basin of origin,Name,Time (UTC),Latitude (lat.),Longitude (lon.),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar,Unnamed: 14,Unnamed: 15,Unnamed: 16,Diameter-Size of outermost closed isobar,"Pressure Drop(hPa)[or""delta P""]",Diameter/Size of outermost closed isobar(in degree)
1982-07-15,198213,ARB,,0300,20.5,69.0,1.5,,25.0,3.0,D,,,,,,,,
1982-07-15,198213,ARB,,1200,21.0,68.0,1.5,,25.0,3.0,D,,,,,,,,
1982-07-16,198213,ARB,,0300,22.5,67.0,1.5,,25.0,3.0,D,,,,,,,,
1982-10-01,198214,ARB,,0300,13.5,71.0,1.5,,25.0,3.0,D,,,,,,,,
1982-10-01,198214,ARB,,1200,14.0,70.0,2.0,,30.0,5.0,DD,,,,,,,,
1982-10-02,198214,ARB,,0300,14.5,69.0,1.5,,25.0,3.0,D,,,,,,,,
1982-11-04,198215,ARB,,1200,11.5,66.0,1.5,999.0,25.0,3.0,D,,,,,,,,
1982-11-05,198215,ARB,,0000,11.7,65.7,2.0,997.0,30.0,5.0,DD,,,,,,,,
1982-11-05,198215,ARB,,0300,12.5,65.0,2.5,995.0,35.0,7.0,CS,,,,,,,,
1982-11-05,198215,ARB,,1200,13.0,65.0,2.5,994.0,40.0,8.0,CS,,,,,,,,
1982-11-06,198215,ARB,,0000,13.5,65.3,3.0,992.0,45.0,10.0,CS,,,,,,,,
1982-11-06,198215,ARB,,0300,14.0,65.5,3.5,986.0,55.0,16.0,SCS,,,,,,,,
1982-11-06,198215,ARB,,1200,14.5,66.0,3.5,982.0,60.0,18.0,SCS,,,,,,,,
1982-11-07,198215,ARB,,0300,15.5,66.5,3.5,982.0,60.0,20.0,SCS,,,,,,,,
1982-11-07,198215,ARB,,1200,16.5,67.5,4.0,980.0,65.0,22.0,VSCS,,,,,,,,
1982-11-08,198215,ARB,,0300,18.5,70.0,4.5,970.0,80.0,30.0,VSCS,,,,,,,,
1982-11-08,198215,ARB,,1200,20.5,70.5,5.0,962.0,90.0,40.0,ESCS,,,,,,,,
1982-11-09,198215,ARB,,0000,22.5,73.0,,990.0,50.0,12.0,SCS,,,,,,,,
1982-11-09,198215,ARB,,0300,23.0,73.5,,995.0,35.0,7.0,CS,,,,,,,,
1982-11-09,198215,ARB,,1200,23.5,75.0,,999.0,25.0,3.0,D,,,,,,,,
1982-11-28,198216,ARB,,1200,9.0,67.0,1.5,,25.0,3.0,D,,,,,,,,
1982-11-29,198216,ARB,,0300,11.0,67.5,2.0,,30.0,5.0,DD,,,,,,,,
1982-11-29,198216,ARB,,0600,11.5,68.0,1.5,,25.0,3.0,D,,,,,,,,
1983-06-20,198301,ARB,,300.0,20.5,71.0,1.5,,25.0,3.0995834159888913,D,,,,,,,,
1983-06-20,198301,ARB,,1200.0,21.0,70.0,-,,25.0,3.0995834159888913,D,,,,,,,,
1983-06-20,198301,ARB,,1800.0,21.5,70.0,-,,25.0,3.0995834159888913,D,,,,,,,,
1983-06-21,198301,ARB,,300.0,22.00,70.5,-,,25.0,3.0995834159888913,D,,,,,,,,
1983-06-22,198301,ARB,,300.0,22.5,71.0,-,,25.0,3.0995834159888913,D,,,,,,,,
1983-06-22,198301,ARB,,1200.0,23.0,71.5,-,,25.0,3.0995834159888913,D,,,,,,,,
1984-06-05,198401,ARB,,1200,18.5,67.5,1.5,,25.0,3.0995834159888913,D,,,,,,,,
1984-06-06,198401,ARB,,0300,20.0,67.5,1.5,,25.0,3.0995834159888913,D,,,,,,,,
1984-06-06,198401,ARB,,1200,21.5,67.5,1.5,,25.0,3.0995834159888913,D,,,,,,,,
1984-12-04,198407,ARB,,0000,11.5,68.5,1.5,,25.0,4.0,D,,,,,,,,
1984-12-04,198407,ARB,,0300,11.0,65.0,2.0,,30.0,5.0,DD,,,,,,,,
1984-12-04,198407,ARB,,1200,10.0,62.5,2.0,,30.0,6.0,DD,,,,,,,,
1984-12-05,198407,ARB,,0300,9.5,60.0,2.5,,30.0,6.0,DD,,,,,,,,
1984-12-05,198407,ARB,,0600,9.0,59.0,-,,25.0,4.0,D,,,,,,,,
1984-12-05,198407,ARB,,1200,8.5,57.0,-,,25.0,3.0,D,,,,,,,,
1985-05-28,198502,ARB,,300.0,15.0,67.0,1.5,,25.0,3.0995834159888913,D,,,,,,,,
1985-05-28,198502,ARB,,1200.0,16.5,67.0,2.0,,30.0,4.463400119024003,DD,,,,,,,,
1985-05-29,198502,ARB,,300.0,17.5,67.5,2.5,,35.0,6.075183495338227,DD,,,,,,,,
1985-05-29,198502,ARB,,1200.0,18.0,68.0,3.0,,45.0,10.042650267804008,CS,,,,,,,,
1985-05-30,198502,ARB,,300.0,20.0,68.0,3.0,,45.0,10.042650267804008,CS,,,,,,,,
1985-05-30,198502,ARB,,1200.0,21.5,67.5,3.0,,45.0,10.042650267804008,CS,,,,,,,,
1985-10-06,198508,ARB,,300.0,19.5,71.5,1.5,,25.0,3.0995834159888913,D,,,,,,,,
1985-10-06,198508,ARB,,1200.0,20.0,71.5,1.5,,25.0,3.0995834159888913,D,,,,,,,,
1985-10-07,198508,ARB,,300.0,21.5,72.0,-,,25.0,3.0995834159888913,D,,,,,,,,
1985-10-07,198508,ARB,,1200.0,21.0,72.0,-,,25.0,3.0,D,,,,,,,,
1985-10-08,198508,ARB,,300.0,20.5,72.2,-,,25.0,3.0995834159888913,D,,,,,,,,
1985-10-08,198508,ARB,,1200.0,22.0,75.0,-,,25.0,3.0,D,,,,,,,,
1985-10-09,198508,ARB,,300.0,24.0,77.0,-,,25.0,3.0995834159888913,D,,,,,,,,
1986-11-09,198608,ARB,,300.0,12.5,70.0,2.0,,30.0,4.463400119024003,DD,,,,,,,,
1986-11-09,198608,ARB,,1200.0,12.0,68.5,2.0,,30.0,4.463400119024003,DD,,,,,,,,
1986-11-10,198608,ARB,,300.0,11.5,65.0,2.0,,30.0,4.463400119024003,DD,,,,,,,,
1986-11-10,198608,ARB,,1200.0,12.0,63.0,1.5,,25.0,3.0995834159888913,D,,,,,,,,
1988-06-09,198802,ARB,,300.0,17.0,70.5,1.5,,25.0,3.0995834159888913,D,,,,,,,,
1988-06-09,198802,ARB,,1200.0,16.7,70.0,2.0,,30.0,4.463400119024003,DD,,,,,,,,
1988-06-10,198802,ARB,,300.0,17.5,70.0,2.0,,30.0,4.463400119024003,DD,,,,,,,,
1988-06-10,198802,ARB,,1200.0,17.5,70.0,2.0,,30.0,4.463400119024003,DD,,,,,,,,
1988-06-11,198802,ARB,,300.0,17.0,69.5,2.0,,30.0,4.463400119024003,DD,,,,,,,,
