YYYYMMDDHH,LatN/S,LonE/W,VMAX,MSLP,TY,CY_Serial
2006-01-14 00:00:00, 64N, 752E, 45, 991,TC,200601
2006-01-14 06:00:00, 67N, 744E, 45, 991,TC,200601
2006-01-14 12:00:00, 68N, 736E, 45, 991,TC,200601
2006-01-14 18:00:00, 70N, 728E, 40, 994,TC,200601
2006-09-21 00:00:00,196N, 666E, 30,1000,TD,200604
2006-09-21 06:00:00,196N, 664E, 30,1000,TD,200604
2006-09-21 12:00:00,197N, 663E, 35, 997,TS,200604
2006-09-21 18:00:00,199N, 663E, 40, 994,TS,200604
2006-09-22 00:00:00,200N, 664E, 45, 991,TC,200604
2006-09-22 06:00:00,202N, 665E, 45, 991,TS,200604
2006-09-22 12:00:00,203N, 666E, 50, 987,TS,200604
2006-09-22 12:00:00,203N, 666E, 50, 987,TS,200604
2006-09-22 18:00:00,204N, 668E, 50, 987,TS,200604
2006-09-22 18:00:00,204N, 668E, 50, 987,TS,200604
2006-09-23 00:00:00,204N, 669E, 50, 987,TS,200604
2006-09-23 00:00:00,204N, 669E, 50, 987,TS,200604
2006-09-23 06:00:00,205N, 671E, 55, 984,TC,200604
2006-09-23 06:00:00,205N, 671E, 55, 984,TC,200604
2006-09-23 12:00:00,203N, 672E, 45, 991,TC,200604
2006-09-23 18:00:00,202N, 671E, 35, 997,TS,200604
2006-09-24 00:00:00,200N, 670E, 30,1000,TD,200604
2006-09-24 06:00:00,198N, 669E, 30,1000,TD,200604
2006-09-24 12:00:00,196N, 669E, 30,1000,TD,200604
2006-09-24 18:00:00,195N, 668E, 30,1000,TD,200604
2007-06-01 06:00:00,147N, 700E, 30,1000,TD,200702
2007-06-01 12:00:00,150N, 688E, 30,1000,TD,200702
2007-06-01 18:00:00,151N, 683E, 30,1000,TD,200702
2007-06-02 00:00:00,151N, 678E, 40, 994,TS,200702
2007-06-02 06:00:00,151N, 673E, 45, 989,TS,200702
2007-06-02 12:00:00,154N, 671E, 55, 982,TS,200702
2007-06-02 18:00:00,156N, 672E, 55, 982,TS,200702
2007-06-02 18:00:00,156N, 672E, 55, 982,TS,200702
2007-06-03 00:00:00,160N, 675E, 60, 978,TS,200702
2007-06-03 00:00:00,160N, 675E, 60, 978,TS,200702
2007-06-03 06:00:00,169N, 676E, 65, 974,TY,200702
2007-06-03 06:00:00,169N, 676E, 65, 974,TY,200702
2007-06-03 12:00:00,175N, 668E, 70, 970,TY,200702
2007-06-03 12:00:00,175N, 668E, 70, 970,TY,200702
2007-06-03 12:00:00,175N, 668E, 70, 970,TY,200702
2007-06-03 18:00:00,180N, 661E, 95, 952,TY,200702
2007-06-03 18:00:00,180N, 661E, 95, 952,TY,200702
2007-06-03 18:00:00,180N, 661E, 95, 952,TY,200702
2007-06-04 06:00:00,192N, 649E,135, 904,ST,200702
2007-06-04 06:00:00,192N, 649E,135, 904,ST,200702
2007-06-04 06:00:00,192N, 649E,135, 904,ST,200702
2007-06-04 12:00:00,199N, 641E,145, 914,ST,200702
2007-06-04 12:00:00,199N, 641E,145, 914,ST,200702
2007-06-04 12:00:00,199N, 641E,145, 914,ST,200702
2007-06-04 18:00:00,205N, 633E,140, 898,ST,200702
2007-06-04 18:00:00,205N, 633E,140, 898,ST,200702
2007-06-04 18:00:00,205N, 633E,140, 898,ST,200702
2007-06-05 00:00:00,208N, 625E,135, 904,ST,200702
2007-06-05 00:00:00,208N, 625E,135, 904,ST,200702
2007-06-05 00:00:00,208N, 625E,135, 904,ST,200702
2007-06-05 06:00:00,212N, 617E,125, 916,TY,200702
2007-06-05 06:00:00,212N, 617E,125, 916,TY,200702
2007-06-05 06:00:00,212N, 617E,125, 916,TY,200702
2007-06-05 12:00:00,216N, 611E,115, 937,TY,200702
2007-06-05 12:00:00,216N, 611E,115, 937,TY,200702
2007-06-05 12:00:00,216N, 611E,115, 937,TY,200702
2007-06-05 18:00:00,220N, 606E,110, 941,TY,200702
