IO, 02, 2000102518,   , BEST,   0, 159N,  899E,  25,    0, TD
IO, 02, 2000102600,   , BEST,   0, 163N,  893E,  25,    0, TD
IO, 02, 2000102606,   , BEST,   0, 163N,  884E,  30,    0, TD
IO, 02, 2000102612,   , BEST,   0, 165N,  879E,  30,    0, TD
IO, 02, 2000102618,   , BEST,   0, 170N,  877E,  30,    0, TD
IO, 02, 2000102700,   , BEST,   0, 179N,  877E,  30,    0, TD
IO, 02, 2000102706,   , BEST,   0, 188N,  880E,  30,    0, TD
IO, 02, 2000102712,   , BEST,   0, 195N,  882E,  30,    0, TD
IO, 02, 2000102718,   , BEST,   0, 203N,  884E,  35,    0, TS
IO, 02, 2000102800,   , BEST,   0, 218N,  889E,  35,    0, TS
IO, 02, 2000102806,   , BEST,   0, 233N,  898E,  20,    0, TD
