IO, 01, 2008042512,   , BEST,   0, 105N,  903E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
IO, 01, 2008042518,   , BEST,   0, 108N,  895E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
IO, 01, 2008042600,   , BEST,   0, 107N,  887E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
IO, 01, 2008042606,   , BEST,   0, 112N,  885E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
IO, 01, 2008042612,   , BEST,   0, 115N,  879E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
IO, 01, 2008042618,   , BEST,   0, 115N,  872E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
IO, 01, 2008042700,   , BEST,   0, 116N,  867E,  25, 1002, TD,   0,    ,    0,    0,    0,    0, 1008,  210,  60,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 01, 2008042706,   , BEST,   0, 117N,  863E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  210,  60,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 01, 2008042712,   , BEST,   0, 122N,  859E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1006,  200,  60,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 01, 2008042718,   , BEST,   0, 125N,  857E,  45,  989, TS,  34, NEQ,   45,   45,   45,   45, 1006,  190,  40,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 01, 2008042800,   , BEST,   0, 128N,  856E,  55,  982, TS,  34, NEQ,   70,   70,   70,   70, 1003,  170,  20,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 01, 2008042800,   , BEST,   0, 128N,  856E,  55,  982, TS,  50, NEQ,   30,   30,   30,   30, 1003,  170,  20,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 01, 2008042806,   , BEST,   0, 131N,  856E,  65,  974, TY,  34, NEQ,   80,   80,   80,   80, 1003,  170,  20,   0,   0,   B,   0,    ,   0,   0,     NARGIS, D, 
IO, 01, 2008042806,   , BEST,   0, 131N,  856E,  65,  974, TY,  50, NEQ,   35,   35,   35,   35, 1003,  170,  20,   0,   0,   B,   0,    ,   0,   0,     NARGIS, D, 
IO, 01, 2008042812,   , BEST,   0, 129N,  853E,  70,  970, TY,  34, NEQ,   80,   80,   80,   80, 1003,  170,  20,   0,   0,   B,   0,    ,   0,   0,     NARGIS, D, 
IO, 01, 2008042812,   , BEST,   0, 129N,  853E,  70,  970, TY,  50, NEQ,   35,   35,   35,   35, 1003,  170,  20,   0,   0,   B,   0,    ,   0,   0,     NARGIS, D, 
IO, 01, 2008042818,   , BEST,   0, 132N,  853E,  75,  967, TY,  34, NEQ,   80,   80,   75,   75, 1002,  190,  20,   0,   0,   B,   0,    ,   0,   0,     NARGIS, D, 
