IO, 04, 2000122306,   , BEST,   0,  73N,  854E,  30,    0, TD
IO, 04, 2000122312,   , BEST,   0,  76N,  850E,  30,    0, TD
IO, 04, 2000122318,   , BEST,   0,  77N,  846E,  30,    0, TD
IO, 04, 2000122400,   , BEST,   0,  78N,  843E,  30,    0, TD
IO, 04, 2000122406,   , BEST,   0,  79N,  841E,  30,    0, TD
IO, 04, 2000122412,   , BEST,   0,  79N,  839E,  30,    0, TD
IO, 04, 2000122418,   , BEST,   0,  80N,  838E,  35,    0, TS
IO, 04, 2000122500,   , BEST,   0,  81N,  837E,  40,    0, TS
IO, 04, 2000122506,   , BEST,   0,  82N,  836E,  45,    0, TS
IO, 04, 2000122512,   , BEST,   0,  83N,  834E,  50,    0, TS
IO, 04, 2000122518,   , BEST,   0,  84N,  830E,  55,    0, TS
IO, 04, 2000122600,   , BEST,   0,  86N,  823E,  60,    0, TS
IO, 04, 2000122606,   , BEST,   0,  86N,  818E,  60,    0, TS
IO, 04, 2000122612,   , BEST,   0,  85N,  810E,  65,    0, TY
IO, 04, 2000122618,   , BEST,   0,  83N,  803E,  60,    0, TS
IO, 04, 2000122700,   , BEST,   0,  81N,  798E,  60,    0, TS
IO, 04, 2000122706,   , BEST,   0,  81N,  792E,  55,    0, TS
IO, 04, 2000122712,   , BEST,   0,  81N,  788E,  50,    0, TS
IO, 04, 2000122718,   , BEST,   0,  82N,  784E,  45,    0, TS
IO, 04, 2000122800,   , BEST,   0,  83N,  780E,  40,    0, TS
IO, 04, 2000122806,   , BEST,   0,  85N,  777E,  30,    0, TD
IO, 04, 2000122812,   , BEST,   0,  86N,  775E,  30,    0, TD
