,CS_ID,CLASS
0,1982120N11083,OTHER
1,1982150N13087,OTHER
2,1982309N12066,NON-MHW
3,1983309N10091,NON-MHW
4,1984314N09088,NON-MHW
5,1984332N08086,NON-MHW
6,1985142N16089,NON-MHW
7,1987030N06089,NON-MHW
8,1988327N06100,NON-MHW
9,1992314N08141,NON-MHW
10,1996306N15097,NON-MHW
11,1998152N11075,MHW
12,1998317N11087,OTHER
13,1998320N10102,OTHER
14,1999135N12073,NON-MHW
15,1999288N15093,NON-MHW
16,1999298N12099,NON-MHW
17,2000331N09092,NON-MHW
18,2000358N08086,NON-MHW
19,2001141N14068,MHW
20,2003129N05091,OTHER
21,2004136N15090,NON-MHW
22,2006114N08090,NON-MHW
23,2007151N14072,NON-MHW
24,2007314N10093,NON-MHW
25,2008117N11090,NON-MHW
26,2010151N14065,OTHER
27,2010293N17093,NON-MHW
28,2011360N09088,OTHER
29,2013281N12098,NON-MHW
30,2013324N07103,NON-MHW
31,2013339N09084,NON-MHW
32,2014279N11096,NON-MHW
33,2014297N11062,MHW
34,2015301N11065,OTHER
35,2015309N14067,OTHER
36,2016341N08092,OTHER
37,2017333N06082,OTHER
38,2018136N11054,NON-MHW
39,2018279N11069,MHW
40,2018281N14088,OTHER
41,2018314N12093,OTHER
42,2019116N02090,OTHER
43,2019160N11073,MHW
44,2019264N19071,NON-MHW
45,2019296N15066,OTHER
46,2019301N05081,NON-MHW
47,2019302N11118,MHW
48,2020136N10088,MHW
49,2020327N08086,MHW
50,2021133N10071,MHW
51,2021143N15090,MHW
