DATETIME,CAT,CS_ID,LAT,LON,MSWS,ORIGIN_BASIN,TimeRelativeToLMI,TC_MHWINT_CLASS
1982-05-01 03:00:00,D,1982120N11083,14.4,82.3,25,BOB,-2.875,MHW
1982-05-01 06:00:00,DD,1982120N11083,14.7,82.4,30,BOB,-2.75,MHW
1982-05-01 12:00:00,CS,1982120N11083,15.1,82.5,35,BOB,-2.5,MHW
1982-05-01 18:00:00,CS,1982120N11083,15.6,82.9,40,BOB,-2.25,MHW
1982-05-02 00:00:00,CS,1982120N11083,16.1,83.4,45,BOB,-2.0,MHW
1982-05-02 03:00:00,CS,1982120N11083,16.3,83.8,45,BOB,-1.875,MHW
1982-05-02 06:00:00,SCS,1982120N11083,16.4,84.1,50,BOB,-1.75,MHW
1982-05-02 12:00:00,SCS,1982120N11083,16.6,84.8,55,BOB,-1.5,MHW
1982-05-02 18:00:00,SCS,1982120N11083,17.0,85.5,55,BOB,-1.25,MHW
1982-05-03 00:00:00,SCS,1982120N11083,17.1,86.3,60,BOB,-1.0,MHW
1982-05-03 03:00:00,VSCS,1982120N11083,17.2,86.8,65,BOB,-0.875,MHW
1982-05-03 06:00:00,VSCS,1982120N11083,17.4,87.4,80,BOB,-0.75,MHW
1982-05-03 12:00:00,ESCS,1982120N11083,17.4,88.5,90,BOB,-0.5,MHW
1982-05-03 18:00:00,ESCS,1982120N11083,17.5,89.8,105,BOB,-0.25,MHW
1982-05-04 00:00:00,ESCS,1982120N11083,17.5,90.9,115,BOB,0.0,MHW
1982-05-04 03:00:00,ESCS,1982120N11083,17.5,91.6,115,BOB,0.125,MHW
1982-05-04 06:00:00,ESCS,1982120N11083,17.5,92.3,115,BOB,0.25,MHW
1982-05-04 12:00:00,ESCS,1982120N11083,17.4,94.0,115,BOB,0.5,MHW
1982-05-04 18:00:00,ESCS,1982120N11083,17.4,95.3,115,BOB,0.75,MHW
1982-05-05 03:00:00,DD,1982120N11083,17.8,97.2,30,BOB,1.125,MHW
1982-06-02 03:00:00,CS,1982150N13087,17.4,89.3,45,BOB,-1.25,OTHER
1982-06-02 06:00:00,CS,1982150N13087,17.5,89.2,45,BOB,-1.125,OTHER
1982-06-02 12:00:00,CS,1982150N13087,17.9,88.9,45,BOB,-0.875,OTHER
1982-06-02 18:00:00,SCS,1982150N13087,18.3,88.5,50,BOB,-0.625,OTHER
1982-06-03 00:00:00,SCS,1982150N13087,18.8,88.2,55,BOB,-0.375,OTHER
1982-06-03 03:00:00,VSCS,1982150N13087,18.9,87.9,65,BOB,-0.25,OTHER
1982-06-03 06:00:00,VSCS,1982150N13087,19.3,87.5,80,BOB,-0.125,OTHER
1982-06-03 09:00:00,ESCS,1982150N13087,19.5,87.3,90,BOB,0.0,OTHER
1982-06-03 12:00:00,ESCS,1982150N13087,19.9,86.9,90,BOB,0.125,OTHER
1982-06-03 18:00:00,ESCS,1982150N13087,20.9,86.3,90,BOB,0.375,OTHER
