,CS_ID,CLASS
0,198201,OTHER
1,198202,OTHER
2,198210,NON-MHW
3,198215,OTHER
4,198306,NON-MHW
5,198405,NON-MHW
6,198406,NON-MHW
7,198501,NON-MHW
8,198502,NON-MHW
9,198506,NON-MHW
10,198509,NON-MHW
11,198510,NON-MHW
12,198512,NON-MHW
13,198513,NON-MHW
14,198607,NON-MHW
15,198701,NON-MHW
16,198702,NON-MHW
17,198706,NON-MHW
18,198707,OTHER
19,198708,NON-MHW
20,198807,NON-MHW
21,198808,NON-MHW
22,198901,OTHER
23,198905,NON-MHW
24,198908,NON-MHW
25,199001,OTHER
26,199009,NON-MHW
27,199101,OTHER
28,199102,NON-MHW
29,199108,NON-MHW
30,199201,OTHER
31,199202,NON-MHW
32,199206,NON-MHW
33,199207,OTHER
34,199208,NON-MHW
35,199301,NON-MHW
36,199401,NON-MHW
37,199402,NON-MHW
38,199403,NON-MHW
39,199506,NON-MHW
40,199507,NON-MHW
41,199508,OTHER
42,199602,NON-MHW
43,199603,NON-MHW
44,199606,NON-MHW
45,199608,NON-MHW
46,199609,NON-MHW
47,199701,NON-MHW
48,199707,NON-MHW
49,199801,OTHER
50,199802,MHW
51,199805,NON-MHW
52,199808,OTHER
53,199809,OTHER
54,199810,NON-MHW
55,199901,NON-MHW
56,199902,NON-MHW
57,199906,NON-MHW
58,199907,NON-MHW
59,200001,OTHER
60,200003,NON-MHW
61,200004,NON-MHW
62,200005,NON-MHW
63,200006,NON-MHW
64,200101,MHW
65,200103,NON-MHW
66,200105,NON-MHW
67,200201,NON-MHW
68,200204,NON-MHW
69,200205,NON-MHW
70,200206,NON-MHW
71,200301,OTHER
72,200306,NON-MHW
73,200307,NON-MHW
74,200401,NON-MHW
75,200402,NON-MHW
76,200406,OTHER
77,200410,NON-MHW
78,200501,NON-MHW
79,200507,NON-MHW
80,200510,NON-MHW
81,200511,NON-MHW
82,200602,NON-MHW
83,200610,NON-MHW
84,200702,NON-MHW
85,200703,NON-MHW
86,200709,NON-MHW
87,200801,NON-MHW
88,200807,NON-MHW
89,200808,NON-MHW
90,200809,NON-MHW
91,200901,OTHER
92,200902,NON-MHW
93,200907,NON-MHW
94,200908,NON-MHW
95,201001,MHW
96,201002,OTHER
97,201003,NON-MHW
98,201006,NON-MHW
99,201007,OTHER
100,201107,NON-MHW
101,201110,OTHER
102,201202,NON-MHW
103,201203,NON-MHW
104,201301,OTHER
105,201305,NON-MHW
106,201308,NON-MHW
107,201309,OTHER
108,201310,NON-MHW
109,201406,NON-MHW
110,201407,OTHER
111,201501,NON-MHW
112,201506,MHW
113,201510,OTHER
114,201511,OTHER
115,201601,MHW
116,201606,NON-MHW
117,201608,NON-MHW
118,201609,OTHER
119,201702,OTHER
120,201709,OTHER
121,201802,NON-MHW
122,201803,NON-MHW
123,201810,NON-MHW
124,201811,OTHER
125,201812,MHW
126,201813,NON-MHW
127,201814,OTHER
128,201902,NON-MHW
129,201903,MHW
130,201905,NON-MHW
131,201907,OTHER
132,201908,NON-MHW
133,201909,MHW
134,201910,OTHER
135,202001,MHW
136,202102,MHW
137,202103,MHW
138,202105,NON-MHW
139,202106,OTHER
140,202110,OTHER
141,202203,OTHER
142,202211,NON-MHW
143,202213,NON-MHW
144,202302,NON-MHW
145,202303,MHW
146,202306,MHW
147,202307,NON-MHW
148,202308,NON-MHW
149,202309,OTHER
