,CS_ID,CLASS
0,198215,OTHER
1,198502,NON-MHW
2,199201,OTHER
3,199202,NON-MHW
4,199301,NON-MHW
5,199401,NON-MHW
6,199402,NON-MHW
7,199506,NON-MHW
8,199603,NON-MHW
9,199606,NON-MHW
10,199802,MHW
11,199805,NON-MHW
12,199810,NON-MHW
13,199902,NON-MHW
14,200101,MHW
15,200103,NON-MHW
16,200201,NON-MHW
17,200306,NON-MHW
18,200401,NON-MHW
19,200406,OTHER
20,200410,NON-MHW
21,200610,NON-MHW
22,200703,NON-MHW
23,200907,NON-MHW
24,201002,OTHER
25,201003,NON-MHW
26,201107,NON-MHW
27,201202,NON-MHW
28,201407,OTHER
29,201501,NON-MHW
30,201510,OTHER
31,201511,OTHER
32,201802,NON-MHW
33,201803,NON-MHW
34,201811,OTHER
35,201903,MHW
36,201905,NON-MHW
37,201907,OTHER
38,201908,NON-MHW
39,201910,OTHER
40,202102,MHW
41,202106,OTHER
42,202303,MHW
43,202306,MHW
