,CS_ID,CLASS
0,198201,OTHER
1,198202,OTHER
2,198210,NON-MHW
3,198306,NON-MHW
4,198405,NON-MHW
5,198406,NON-MHW
6,198501,NON-MHW
7,198506,NON-MHW
8,198509,NON-MHW
9,198510,NON-MHW
10,198512,NON-MHW
11,198513,NON-MHW
12,198607,NON-MHW
13,198701,NON-MHW
14,198702,NON-MHW
15,198706,NON-MHW
16,198707,OTHER
17,198708,NON-MHW
18,198807,NON-MHW
19,198808,NON-MHW
20,198901,OTHER
21,198905,NON-MHW
22,198908,NON-MHW
23,199001,OTHER
24,199009,NON-MHW
25,199101,OTHER
26,199102,NON-MHW
27,199108,NON-MHW
28,199201,OTHER
29,199206,NON-MHW
30,199207,OTHER
31,199208,NON-MHW
32,199301,NON-MHW
33,199402,NON-MHW
34,199403,NON-MHW
35,199507,NON-MHW
36,199508,OTHER
37,199602,NON-MHW
38,199608,NON-MHW
39,199609,NON-MHW
40,199701,NON-MHW
41,199707,NON-MHW
42,199801,OTHER
43,199808,OTHER
44,199809,OTHER
45,199901,NON-MHW
46,199906,NON-MHW
47,199907,NON-MHW
48,200001,OTHER
49,200003,NON-MHW
50,200004,NON-MHW
51,200005,NON-MHW
52,200006,NON-MHW
53,200105,NON-MHW
54,200204,NON-MHW
55,200205,NON-MHW
56,200206,NON-MHW
57,200301,OTHER
58,200307,NON-MHW
59,200402,NON-MHW
60,200501,NON-MHW
61,200507,NON-MHW
62,200510,NON-MHW
63,200511,NON-MHW
64,200602,NON-MHW
65,200702,NON-MHW
66,200709,NON-MHW
67,200801,NON-MHW
68,200807,NON-MHW
69,200808,NON-MHW
70,200809,NON-MHW
71,200901,OTHER
72,200902,NON-MHW
73,200908,NON-MHW
74,201001,MHW
75,201006,NON-MHW
76,201007,OTHER
77,201110,OTHER
78,201203,NON-MHW
79,201301,OTHER
80,201305,NON-MHW
81,201308,NON-MHW
82,201309,OTHER
83,201310,NON-MHW
84,201406,NON-MHW
85,201506,MHW
86,201601,MHW
87,201606,NON-MHW
88,201608,NON-MHW
89,201609,OTHER
90,201702,OTHER
91,201709,OTHER
92,201810,NON-MHW
93,201812,MHW
94,201813,NON-MHW
95,201814,OTHER
96,201902,NON-MHW
97,201909,MHW
98,202001,MHW
99,202103,MHW
100,202105,NON-MHW
101,202110,OTHER
102,202203,OTHER
103,202211,NON-MHW
104,202213,NON-MHW
105,202302,NON-MHW
106,202307,NON-MHW
107,202308,NON-MHW
108,202309,OTHER
