,CS_ID,CLASS
0,200602,NON-MHW
1,200701,NON-MHW
2,200702,NON-MHW
3,200706,NON-MHW
4,200801,NON-MHW
5,200902,NON-MHW
6,201001,OTHER
7,201003,OTHER
8,201004,NON-MHW
9,201106,OTHER
10,201302,NON-MHW
11,201304,NON-MHW
12,201305,NON-MHW
13,201306,NON-MHW
14,201403,NON-MHW
15,201404,MHW
16,201504,MHW
17,201505,OTHER
18,201605,NON-MHW
19,201702,OTHER
20,201703,OTHER
21,201801,OTHER
22,201802,NON-MHW
23,201805,MHW
24,201806,OTHER
25,201807,NON-MHW
26,201901,OTHER
27,201902,MHW
28,201903,NON-MHW
29,201904,NON-MHW
30,201905,NON-MHW
31,202001,MHW
32,202002,NON-MHW
33,202003,NON-MHW
34,202004,MHW
35,202101,MHW
36,202102,MHW
37,202103,NON-MHW
38,202202,NON-MHW
39,202301,NON-MHW
40,202302,MHW
41,202305,MHW
42,202306,OTHER
43,202308,OTHER
