DATETIME,CAT,CS_ID,LAT,LON,MSWS,ORIGIN_BASIN,TimeRelativeToLMI,TC_MHWINT_CLASS
2005-11-27 06:00:00,D,200505,10.9,93.7,25.0,BOB,-1.5,NON-MHW
2005-11-27 12:00:00,DD,200505,11.0,92.6,30.0,BOB,-1.25,NON-MHW
2005-11-27 18:00:00,DD,200505,10.8,91.2,30.0,BOB,-1.0,NON-MHW
2005-11-28 00:00:00,CS,200505,10.3,89.9,35.0,BOB,-0.75,NON-MHW
2005-11-28 06:00:00,CS,200505,10.5,89.0,35.0,BOB,-0.5,NON-MHW
2005-11-28 12:00:00,CS,200505,10.7,88.1,35.0,BOB,-0.25,NON-MHW
2005-11-28 18:00:00,CS,200505,11.1,87.3,45.0,BOB,0.0,NON-MHW
2005-11-29 00:00:00,CS,200505,11.6,86.5,45.0,BOB,0.25,NON-MHW
2005-11-29 06:00:00,CS,200505,12.3,85.9,45.0,BOB,0.5,NON-MHW
2005-11-29 12:00:00,CS,200505,12.6,85.2,45.0,BOB,0.75,NON-MHW
2005-11-29 18:00:00,CS,200505,12.4,84.7,45.0,BOB,1.0,NON-MHW
2005-11-30 00:00:00,CS,200505,12.6,84.3,40.0,BOB,1.25,NON-MHW
2005-11-30 06:00:00,CS,200505,12.9,84.2,40.0,BOB,1.5,NON-MHW
2005-11-30 12:00:00,CS,200505,12.7,84.4,40.0,BOB,1.75,NON-MHW
2005-11-30 18:00:00,CS,200505,12.7,84.0,45.0,BOB,2.0,NON-MHW
2005-12-01 00:00:00,CS,200505,13.0,83.9,45.0,BOB,2.25,NON-MHW
2005-12-01 06:00:00,CS,200505,12.9,83.6,45.0,BOB,2.5,NON-MHW
2005-12-01 12:00:00,CS,200505,12.8,83.3,35.0,BOB,2.75,NON-MHW
2005-12-01 18:00:00,CS,200505,12.6,83.0,35.0,BOB,3.0,NON-MHW
2005-12-02 00:00:00,CS,200505,12.4,82.6,35.0,BOB,3.25,NON-MHW
2005-12-05 00:00:00,D,200506,9.9,91.5,20.0,BOB,-4.0,NON-MHW
2005-12-05 06:00:00,D,200506,10.2,91.0,25.0,BOB,-3.75,NON-MHW
2005-12-05 12:00:00,DD,200506,10.4,90.4,30.0,BOB,-3.5,NON-MHW
2005-12-05 18:00:00,DD,200506,10.9,90.0,30.0,BOB,-3.25,NON-MHW
2005-12-06 00:00:00,CS,200506,11.4,89.5,35.0,BOB,-3.0,NON-MHW
2005-12-06 06:00:00,CS,200506,11.7,88.9,35.0,BOB,-2.75,NON-MHW
2005-12-06 12:00:00,CS,200506,11.6,88.3,45.0,BOB,-2.5,NON-MHW
2005-12-06 18:00:00,SCS,200506,11.4,87.7,50.0,BOB,-2.25,NON-MHW
2005-12-07 00:00:00,SCS,200506,11.2,87.1,55.0,BOB,-2.0,NON-MHW
2005-12-07 06:00:00,SCS,200506,10.8,86.8,55.0,BOB,-1.75,NON-MHW
2005-12-07 18:00:00,SCS,200506,10.3,86.3,55.0,BOB,-1.25,NON-MHW
2005-12-08 00:00:00,SCS,200506,10.4,85.9,55.0,BOB,-1.0,NON-MHW
2005-12-08 00:00:00,SCS,200506,10.4,85.9,55.0,BOB,-1.0,NON-MHW
2005-12-08 06:00:00,SCS,200506,10.6,85.4,55.0,BOB,-0.75,NON-MHW
2005-12-08 06:00:00,SCS,200506,10.6,85.4,55.0,BOB,-0.75,NON-MHW
2005-12-08 12:00:00,SCS,200506,10.6,84.7,55.0,BOB,-0.5,NON-MHW
2005-12-08 12:00:00,SCS,200506,10.6,84.7,55.0,BOB,-0.5,NON-MHW
2005-12-08 18:00:00,SCS,200506,10.3,84.1,55.0,BOB,-0.25,NON-MHW
