DATETIME,CAT,CS_ID,LAT,LON,MSWS,ORIGIN_BASIN,TimeRelativeToLMI,TC_MHWINT_CLASS
2006-09-19 12:00:00,D,200604,19.4,68.4,20.0,AS,-3.75,NON-MHW
2006-09-19 18:00:00,D,200604,19.3,68.2,25.0,AS,-3.5,NON-MHW
2006-09-20 00:00:00,D,200604,19.3,67.8,25.0,AS,-3.25,NON-MHW
2006-09-20 06:00:00,D,200604,19.4,67.4,25.0,AS,-3.0,NON-MHW
2006-09-20 12:00:00,D,200604,19.5,67.1,25.0,AS,-2.75,NON-MHW
2006-09-20 18:00:00,DD,200604,19.6,66.8,30.0,AS,-2.5,NON-MHW
2006-09-21 00:00:00,DD,200604,19.6,66.6,30.0,AS,-2.25,NON-MHW
2006-09-21 06:00:00,DD,200604,19.6,66.4,30.0,AS,-2.0,NON-MHW
2006-09-21 12:00:00,CS,200604,19.7,66.3,35.0,AS,-1.75,NON-MHW
2006-09-21 18:00:00,CS,200604,19.9,66.3,40.0,AS,-1.5,NON-MHW
2006-09-22 00:00:00,CS,200604,20.0,66.4,45.0,AS,-1.25,NON-MHW
2006-09-22 06:00:00,CS,200604,20.2,66.5,45.0,AS,-1.0,NON-MHW
2006-09-22 12:00:00,SCS,200604,20.3,66.6,50.0,AS,-0.75,NON-MHW
2006-09-22 12:00:00,SCS,200604,20.3,66.6,50.0,AS,-0.75,NON-MHW
2006-09-22 18:00:00,SCS,200604,20.4,66.8,50.0,AS,-0.5,NON-MHW
2006-09-22 18:00:00,SCS,200604,20.4,66.8,50.0,AS,-0.5,NON-MHW
2006-09-23 00:00:00,SCS,200604,20.4,66.9,50.0,AS,-0.25,NON-MHW
2006-09-23 00:00:00,SCS,200604,20.4,66.9,50.0,AS,-0.25,NON-MHW
2006-09-23 06:00:00,SCS,200604,20.5,67.1,55.0,AS,0.0,NON-MHW
2006-09-23 06:00:00,SCS,200604,20.5,67.1,55.0,AS,0.0,NON-MHW
2006-09-23 12:00:00,CS,200604,20.3,67.2,45.0,AS,0.25,NON-MHW
2006-09-23 18:00:00,CS,200604,20.2,67.1,35.0,AS,0.5,NON-MHW
2006-09-24 00:00:00,DD,200604,20.0,67.0,30.0,AS,0.75,NON-MHW
2006-09-24 06:00:00,DD,200604,19.8,66.9,30.0,AS,1.0,NON-MHW
2006-09-24 12:00:00,DD,200604,19.6,66.9,30.0,AS,1.25,NON-MHW
2006-09-24 18:00:00,DD,200604,19.5,66.8,30.0,AS,1.5,NON-MHW
2007-06-01 06:00:00,DD,200702,14.7,70.0,30.0,AS,-3.25,NON-MHW
2007-06-01 12:00:00,DD,200702,15.0,68.8,30.0,AS,-3.0,NON-MHW
2007-06-01 18:00:00,DD,200702,15.1,68.3,30.0,AS,-2.75,NON-MHW
2007-06-02 00:00:00,CS,200702,15.1,67.8,40.0,AS,-2.5,NON-MHW
2007-06-02 06:00:00,CS,200702,15.1,67.3,45.0,AS,-2.25,NON-MHW
2007-06-02 12:00:00,SCS,200702,15.4,67.1,55.0,AS,-2.0,NON-MHW
2007-06-02 18:00:00,SCS,200702,15.6,67.2,55.0,AS,-1.75,NON-MHW
2007-06-02 18:00:00,SCS,200702,15.6,67.2,55.0,AS,-1.75,NON-MHW
2007-06-03 00:00:00,SCS,200702,16.0,67.5,60.0,AS,-1.5,NON-MHW
2007-06-03 00:00:00,SCS,200702,16.0,67.5,60.0,AS,-1.5,NON-MHW
2007-06-03 06:00:00,VSCS,200702,16.9,67.6,65.0,AS,-1.25,NON-MHW
2007-06-03 06:00:00,VSCS,200702,16.9,67.6,65.0,AS,-1.25,NON-MHW
2007-06-03 12:00:00,VSCS,200702,17.5,66.8,70.0,AS,-1.0,NON-MHW
2007-06-03 12:00:00,VSCS,200702,17.5,66.8,70.0,AS,-1.0,NON-MHW
2007-06-03 12:00:00,VSCS,200702,17.5,66.8,70.0,AS,-1.0,NON-MHW
