IO, 02, 1982053006,   , BEST,   0, 132N,  878E,  30
IO, 02, 1982053012,   , BEST,   0, 134N,  883E,  35
IO, 02, 1982053018,   , BEST,   0, 136N,  888E,  40
IO, 02, 1982053100,   , BEST,   0, 137N,  891E,  45
IO, 02, 1982053106,   , BEST,   0, 141N,  896E,  50
IO, 02, 1982053112,   , BEST,   0, 147N,  901E,  55
IO, 02, 1982053118,   , BEST,   0, 152N,  901E,  55
IO, 02, 1982060100,   , BEST,   0, 157N,  899E,  45
IO, 02, 1982060106,   , BEST,   0, 160N,  898E,  35
IO, 02, 1982060112,   , BEST,   0, 164N,  897E,  30,    0, XX
IO, 02, 1982060118,   , BEST,   0, 168N,  896E,  25,    0, XX
IO, 02, 1982060200,   , BEST,   0, 172N,  894E,  30,    0, XX
IO, 02, 1982060206,   , BEST,   0, 175N,  891E,  30,    0, XX
IO, 02, 1982060212,   , BEST,   0, 179N,  888E,  35,    0, XX
IO, 02, 1982060218,   , BEST,   0, 182N,  885E,  40,    0, XX
IO, 02, 1982060300,   , BEST,   0, 187N,  881E,  45,    0, XX
IO, 02, 1982060306,   , BEST,   0, 192N,  875E,  55,    0, XX
IO, 02, 1982060312,   , BEST,   0, 199N,  869E,  55,    0, XX
IO, 02, 1982060318,   , BEST,   0, 208N,  862E,  45,    0, XX
IO, 02, 1982060400,   , BEST,   0, 218N,  854E,  40,    0, XX
IO, 02, 1982060406,   , BEST,   0, 229N,  848E,  30,    0, XX
