IO, 03, 1987060406,   , BEST,   0, 161N,  609E,  30
IO, 03, 1987060412,   , BEST,   0, 161N,  612E,  35
IO, 03, 1987060418,   , BEST,   0, 161N,  615E,  40
IO, 03, 1987060500,   , BEST,   0, 161N,  618E,  45
IO, 03, 1987060506,   , BEST,   0, 161N,  622E,  45
IO, 03, 1987060512,   , BEST,   0, 161N,  626E,  45
IO, 03, 1987060518,   , BEST,   0, 161N,  630E,  45
IO, 03, 1987060600,   , BEST,   0, 161N,  635E,  50
IO, 03, 1987060606,   , BEST,   0, 161N,  642E,  50
IO, 03, 1987060612,   , BEST,   0, 161N,  649E,  50
IO, 03, 1987060618,   , BEST,   0, 161N,  657E,  50
IO, 03, 1987060700,   , BEST,   0, 170N,  662E,  50
IO, 03, 1987060706,   , BEST,   0, 179N,  661E,  50
IO, 03, 1987060712,   , BEST,   0, 189N,  660E,  50
IO, 03, 1987060718,   , BEST,   0, 198N,  659E,  50
IO, 03, 1987060800,   , BEST,   0, 206N,  655E,  50
IO, 03, 1987060806,   , BEST,   0, 210N,  649E,  45
IO, 03, 1987060812,   , BEST,   0, 210N,  643E,  40
IO, 03, 1987060818,   , BEST,   0, 209N,  637E,  35
IO, 03, 1987060900,   , BEST,   0, 204N,  634E,  35
IO, 03, 1987060906,   , BEST,   0, 199N,  637E,  35
IO, 03, 1987060912,   , BEST,   0, 199N,  643E,  30
IO, 03, 1987060918,   , BEST,   0, 201N,  648E,  25
IO, 03, 1987061000,   , BEST,   0, 204N,  652E,  25
IO, 03, 1987061006,   , BEST,   0, 207N,  649E,  20
IO, 03, 1987061012,   , BEST,   0, 207N,  644E,  20
IO, 03, 1987061018,   , BEST,   0, 207N,  638E,  20
IO, 03, 1987061100,   , BEST,   0, 207N,  631E,  25
IO, 03, 1987061106,   , BEST,   0, 207N,  624E,  30
IO, 03, 1987061112,   , BEST,   0, 209N,  618E,  25
IO, 03, 1987061118,   , BEST,   0, 215N,  613E,  25
IO, 03, 1987061200,   , BEST,   0, 220N,  610E,  25
