IO, 03, 2000112606,   , BEST,   0,  88N,  914E,  30,    0, TD
IO, 03, 2000112612,   , BEST,   0,  93N,  903E,  35,    0, TS
IO, 03, 2000112618,   , BEST,   0,  98N,  892E,  35,    0, TS
IO, 03, 2000112700,   , BEST,   0, 103N,  881E,  35,    0, TS
IO, 03, 2000112706,   , BEST,   0, 107N,  869E,  45,    0, TS
IO, 03, 2000112712,   , BEST,   0, 110N,  858E,  45,    0, TS
IO, 03, 2000112718,   , BEST,   0, 112N,  845E,  50,    0, TS
IO, 03, 2000112800,   , BEST,   0, 116N,  836E,  55,    0, TS
IO, 03, 2000112806,   , BEST,   0, 116N,  825E,  55,    0, TS
IO, 03, 2000112812,   , BEST,   0, 115N,  819E,  65,    0, TY
IO, 03, 2000112818,   , BEST,   0, 115N,  814E,  65,    0, TY
IO, 03, 2000112900,   , BEST,   0, 115N,  808E,  65,    0, TY
IO, 03, 2000112906,   , BEST,   0, 116N,  803E,  65,    0, TY
IO, 03, 2000112912,   , BEST,   0, 116N,  797E,  65,    0, TY
IO, 03, 2000112918,   , BEST,   0, 115N,  787E,  55,    0, TS
IO, 03, 2000113000,   , BEST,   0, 114N,  779E,  45,    0, TS
IO, 03, 2000113006,   , BEST,   0, 114N,  773E,  35,    0, TS
IO, 03, 2000113012,   , BEST,   0, 115N,  765E,  30,    0, TD
IO, 03, 2000113018,   , BEST,   0, 115N,  757E,  25,    0, TD
IO, 03, 2000120100,   , BEST,   0, 115N,  751E,  30,    0, TD
IO, 03, 2000120106,   , BEST,   0, 116N,  744E,  30,    0, TD
IO, 03, 2000120112,   , BEST,   0, 117N,  739E,  25,    0, TD
IO, 03, 2000120118,   , BEST,   0, 118N,  732E,  30,    0, TD
IO, 03, 2000120200,   , BEST,   0, 119N,  722E,  30,    0, TD
IO, 03, 2000120206,   , BEST,   0, 118N,  704E,  30,    0, TD
IO, 03, 2000120212,   , BEST,   0, 117N,  698E,  30,    0, TD
IO, 03, 2000120218,   , BEST,   0, 116N,  690E,  30,    0, TD
IO, 03, 2000120300,   , BEST,   0, 113N,  685E,  30,    0, TD
IO, 03, 2000120306,   , BEST,   0, 112N,  668E,  35,    0, TS
IO, 03, 2000120312,   , BEST,   0, 112N,  657E,  35,    0, TS
IO, 03, 2000120318,   , BEST,   0, 108N,  644E,  30,    0, TD
IO, 03, 2000120400,   , BEST,   0, 110N,  632E,  30,    0, TD
IO, 03, 2000120406,   , BEST,   0, 103N,  619E,  30,    0, TD
IO, 03, 2000120412,   , BEST,   0,  99N,  606E,  25,    0, TD
IO, 03, 2000120418,   , BEST,   0,  96N,  594E,  25,    0, TD
IO, 03, 2000120500,   , BEST,   0,  95N,  584E,  25,    0, TD
IO, 03, 2000120506,   , BEST,   0,  93N,  575E,  25,    0, TD
IO, 03, 2000120512,   , BEST,   0,  91N,  566E,  25,    0, TD
IO, 03, 2000120600,   , BEST,   0,  80N,  545E,  25,    0, TD
